English name of Language,ISO 639-1 Code,ISO 639-2 Code
"Abkhazian","ab","abk"
"Achinese","","ace"
"Acoli","","ach"
"Adangme","","ada"
"Adyghe; Adygei","","ady"
"Afar","aa","aar"
"Afrihili","","afh"
"Afrikaans","af","afr"
"Afro-Asiatic languages","","afa"
"Ainu","","ain"
"Akan","ak","aka"
"Akkadian","","akk"
"Albanian","sq","alb"
"Aleut","","ale"
"Algonquian languages","","alg"
"Altaic languages","","tut"
"Amharic","am","amh"
"Angika","","anp"
"Apache languages","","apa"
"Arabic","ar","ara"
"Aragonese","an","arg"
"Arapaho","","arp"
"Arawak","","arw"
"Armenian","hy","arm"
"Aromanian; Arumanian; Macedo-Romanian","","rup"
"Artificial languages","","art"
"Assamese","as","asm"
"Asturian; Bable; Leonese; Asturleonese","","ast"
"Athapascan languages","","ath"
"Australian languages","","aus"
"Austronesian languages","","map"
"Avaric","av","ava"
"Avestan","ae","ave"
"Awadhi","","awa"
"Aymara","ay","aym"
"Azerbaijani","az","aze"
"Balinese","","ban"
"Baltic languages","","bat"
"Baluchi","","bal"
"Bambara","bm","bam"
"Bamileke languages","","bai"
"Banda languages","","bad"
"Bantu languages","","bnt"
"Basa","","bas"
"Bashkir","ba","bak"
"Basque","eu","baq"
"Batak languages","","btk"
"Beja; Bedawiyet","","bej"
"Belarusian","be","bel"
"Bemba","","bem"
"Bengali","bn","ben"
"Berber languages","","ber"
"Bhojpuri","","bho"
"Bihari languages","bh","bih"
"Bikol","","bik"
"Bini; Edo","","bin"
"Bislama","bi","bis"
"Blin; Bilin","","byn"
"Blissymbols; Blissymbolics; Bliss","","zbl"
"Bokmal, Norwegian; Norwegian Bokmal","nb","nob"
"Bosnian","bs","bos"
"Braj","","bra"
"Breton","br","bre"
"Buginese","","bug"
"Bulgarian","bg","bul"
"Buriat","","bua"
"Burmese","my","bur"
"Caddo","","cad"
"Catalan; Valencian","ca","cat"
"Caucasian languages","","cau"
"Cebuano","","ceb"
"Celtic languages","","cel"
"Central American Indian languages","","cai"
"Central Khmer","km","khm"
"Chagatai","","chg"
"Chamic languages","","cmc"
"Chamorro","ch","cha"
"Chechen","ce","che"
"Cherokee","","chr"
"Cheyenne","","chy"
"Chibcha","","chb"
"Chichewa; Chewa; Nyanja","ny","nya"
"Chinese","zh","chi"
"Chinook jargon","","chn"
"Chipewyan; Dene Suline","","chp"
"Choctaw","","cho"
"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu","chu"
"Chuukese","","chk"
"Chuvash","cv","chv"
